扫描参数,参数值,重复次数,实际总费用_元_均值,实际总费用_元_标准差,紧急购电量_kWh_均值,紧急购电量_kWh_标准差,平均日末SOC_kWh_均值,平均日末SOC_kWh_标准差,平均单日求解时间_s_均值,平均单日求解时间_s_标准差,全部校验通过,相对基准费用变化_pct,相对基准紧急购电变化_pct
rho,0.5,1,15297283.171092851,0.0,218492.4825039918,0.0,5921.6052118853,0.0,1.2212157212574868,0.0,True,-0.22263722860429436,-1.2011449655011108
rho,0.8,1,15331416.612143906,0.0,221148.800183664,0.0,5937.906865141626,0.0,1.1646937589820356,0.0,True,0.0,0.0
rho,0.95,1,15364329.361632384,0.0,224011.56723560288,0.0,5950.779131317509,0.0,2.514684645209582,0.0,True,0.21467520139273333,1.2944981160021518
S,50.0,5,15357173.44472816,11281.129099625152,224265.07608455373,3365.8273613306615,5947.575964188822,7.216467429494375,1.3013617184431105,0.24286491436620236,True,0.1680003435811095,1.4091308197474728
S,100.0,5,15334405.43870318,5691.805289571697,220580.52727371608,994.9746774016611,5934.87670420925,6.129147368876697,1.383439517065874,0.09688442543827616,True,0.019494784043017077,-0.2569640484035851
S,200.0,5,15318169.617872378,4798.226310037264,217042.34045082424,1202.019805122236,5906.943810947327,5.718039482295876,1.9748863982035882,0.14260525103045937,True,-0.08640424173872452,-1.856876333685431
h,500.0,1,15333773.36844824,0.0,221179.87685251565,0.0,6437.906865141626,0.0,1.2423380979041927,0.0,True,0.015372071374453178,0.0140523795859826
h,1000.0,1,15331416.612143906,0.0,221148.800183664,0.0,5937.906865141626,0.0,1.2514241473053882,0.0,True,0.0,0.0
h,1500.0,1,15329194.08155287,0.0,221181.2274878818,0.0,5437.9068651416255,0.0,1.2927956991017904,0.0,True,-0.014496576847800036,0.014663115599500287
